Timestamp,Vault,Chain,Type,Month,SharePrice,APY
2021-05-01 00:00:00+00:00,yUSD 0.3.5 - ETH,ETH,Stable,may/21,1.0,
2021-05-01 00:00:00+00:00,yvCurve-Aave 0.3.5 - ETH,ETH,Altcoin,may/21,1.0,
2021-05-01 00:00:00+00:00,yvCurve-BUSD 0.3.5 - ETH,ETH,Stable,may/21,1.0,
2021-05-01 00:00:00+00:00,yvCurve-Compound 0.3.5 - ETH,ETH,Altcoin,may/21,1.0,
2021-05-01 00:00:00+00:00,yvCurve-DUSD 0.3.5 - ETH,ETH,Stable,may/21,1.0,
2021-05-01 00:00:00+00:00,yvCurve-FRAX 0.3.5 - ETH,ETH,Stable,may/21,1.0,
2021-05-01 00:00:00+00:00,yvCurve-GUSD 0.3.5 - ETH,ETH,Stable,may/21,1.0,
2021-05-01 00:00:00+00:00,yvCurve-HUSD 0.3.5 - ETH,ETH,Stable,may/21,1.0,
2021-05-01 00:00:00+00:00,yvCurve-LUSD 0.3.5 - ETH,ETH,Stable,may/21,1.001942850798595,
2021-05-01 00:00:00+00:00,yvCurve-mUSD 0.3.5 - ETH,ETH,Stable,may/21,1.0,
2021-05-01 00:00:00+00:00,yvCurve-sAave 0.3.5 - ETH,ETH,Altcoin,may/21,1.001263617564598,
2021-05-01 00:00:00+00:00,yvCurve-sUSD 0.3.5 - ETH,ETH,Stable,may/21,1.0,
2021-05-01 00:00:00+00:00,yvCurve-TUSD 0.3.5 - ETH,ETH,Stable,may/21,1.0,
2021-05-01 00:00:00+00:00,yvCurve-USDN 0.3.5 - ETH,ETH,Stable,may/21,1.0,
2021-05-01 00:00:00+00:00,yvCurve-USDP 0.3.5 - ETH,ETH,Stable,may/21,1.0,
2021-05-01 00:00:00+00:00,yvCurve-UST 0.3.5 - ETH,ETH,Stable,may/21,1.0,
2021-05-01 00:00:00+00:00,yvCurve-BUSD 0.3.5 - ETH,ETH,Stable,may/21,1.0,0.0
2021-05-01 00:00:00+00:00,yvsteCRV 0.3.0 - ETH,ETH,Other,may/21,1.05749094758386,0.11420964951585999
2021-05-01 00:00:00+00:00,yveCRV 0.3.2 - ETH,ETH,Other,may/21,1.8777878110039785,0.16210350243876404
2021-05-01 00:00:00+00:00,yvCurve-ankrETH 0.3.5 - ETH,ETH,ETH,may/21,1.0,
2021-05-01 00:00:00+00:00,yvhCRV 0.3.3 - ETH,ETH,Other,may/21,1.006945584230205,0.08792089873278286
2021-05-01 00:00:00+00:00,yvCurve-sBTC 0.3.5 - ETH,ETH,BTC,may/21,1.000601547142625,
2021-05-01 00:00:00+00:00,yvCurve-pBTC 0.3.5 - ETH,ETH,BTC,may/21,1.0009055289244733,
2021-05-01 00:00:00+00:00,yvCurve-BBTC 0.3.5 - ETH,ETH,BTC,may/21,1.0,
2021-05-01 00:00:00+00:00,yvCurve-tBTC 0.3.5 - ETH,ETH,BTC,may/21,1.0,
2021-05-01 00:00:00+00:00,yvCurve-oBTC 0.3.5 - ETH,ETH,BTC,may/21,1.0019023899697923,
2021-05-01 00:00:00+00:00,yvCurve-renBTC 0.3.5 - ETH,ETH,BTC,may/21,1.0003470328320694,
2021-05-01 00:00:00+00:00,yvHEGIC 0.3.0 - ETH,ETH,Altcoin,may/21,1.0082845299066752,-0.00758289381966637
2021-05-01 00:00:00+00:00,yvBOOST 0.3.5 - ETH,ETH,Altcoin,may/21,1.006124090228811,
2021-05-01 00:00:00+00:00,yvDAI 0.3.0 - ETH,ETH,Stable,may/21,1.0380748406472076,0.1118162784660659
2021-05-01 00:00:00+00:00,yvWBTC 0.3.1 - ETH,ETH,BTC,may/21,1.00298585,0.012855177216636093
2021-05-01 00:00:00+00:00,yvDAI 0.2.2 - ETH,ETH,Stable,may/21,1.019174762524669,0.0
